,number_sta,lat,lon,height_sta,date,dd,ff,precip,hu,td,t,psl
9714063,11202001,42.92,3.06,40.0,20170326 04:24,320.0,4.7,0.0,87.0,278.65,280.65,101650.0
1191766,34205001,43.79,3.25,844.0,20160111 09:06,290.0,12.7,0.0,97.0,277.85,278.25,
4943998,6079002,43.52,6.9,104.0,20160212 20:48,290.0,6.6,0.0,82.0,279.15,282.05,
14520804,29190001,48.33,-4.77,22.0,20170831 08:24,250.0,8.7,,,,,
30626629,7069001,45.06,4.7,405.0,20170925 05:06,,,0.0,,,,
37889851,23008004,45.958,2.188,486.0,20161123 09:00,,,0.0,,,284.75,
23492546,83137001,43.104,5.931,23.0,20170724 17:42,310.0,10.8,0.0,35.0,284.25,301.15,
10304239,85060002,46.48,-1.73,27.0,20160622 11:12,90.0,4.4,0.0,81.0,295.25,298.75,
8495724,29058003,47.85,-3.98,8.0,20170522 10:42,200.0,2.7,,,,,
36589938,66082004,42.616,2.111,1495.0,20171116 10:36,10.0,3.5,0.0,29.0,266.45,283.75,
186749,22168001,48.83,-3.47,58.0,20170104 01:54,230.0,5.0,0.0,78.0,273.05,276.55,102950.0
18669925,56017003,47.88,-2.73,112.0,20161108 15:18,230.0,1.9,0.0,73.0,277.95,282.55,
18084471,23089001,46.35,1.99,306.0,20161029 23:00,90.0,3.3,0.0,96.0,280.95,281.55,
32673407,15114002,45.303,2.833,1075.0,20171013 09:00,150.0,1.7,0.0,42.0,277.65,290.75,
30695517,34209002,43.322,3.353,16.0,20180919 21:48,330.0,0.7,0.0,80.0,288.35,291.85,101990.0
37404271,42039003,45.699,3.844,990.0,20181114 18:12,260.0,0.8,0.0,98.0,277.65,277.95,
8188096,20050001,42.53,8.79,58.0,20160311 17:18,30.0,4.7,0.0,62.0,278.35,285.45,101310.0
11558057,26340001,44.198,5.536,824.0,20180410 11:48,,,0.0,,,,
22054820,6037002,43.752,6.923,1268.0,20180708 18:00,200.0,1.3,0.0,69.0,287.25,293.15,
39948630,26168001,44.67,5.71,1059.0,20161211 04:18,360.0,0.8,0.0,61.0,264.45,270.95,
30276705,83124002,43.58,6.622,278.0,20160918 01:24,260.0,1.8,0.0,71.0,279.85,284.95,
1602895,63113001,45.79,3.15,326.0,20160114 22:42,290.0,4.7,0.0,69.0,272.35,277.55,101860.0
39811156,30123001,43.71,4.17,17.0,20161209 23:48,,,0.0,,,281.85,
27417586,20004003,41.91,8.62,124.0,20170828 02:30,10.0,4.5,,,,,
5998359,13110003,43.45,5.7,264.0,20170221 17:18,250.0,2.4,0.0,60.0,280.35,288.05,
24205998,7032002,44.628,4.566,650.0,20170730 23:24,240.0,0.9,0.0,65.0,285.05,291.75,
2085494,13004003,43.51,4.694,1.0,20180119 01:36,260.0,5.0,0.0,76.0,279.45,283.45,
6513757,14366002,49.17,0.23,62.0,20160419 07:54,,,0.0,,,280.25,
19031048,50111001,49.036,-1.298,134.0,20181114 07:00,160.0,2.8,0.0,94.0,279.95,280.85,
15571643,6120004,44.258,6.921,1150.0,20180514 16:24,,,0.0,,,284.05,
16565374,84107002,44.041,5.493,836.0,20180523 02:54,240.0,0.6,0.0,97.0,280.15,280.55,
29930647,7101002,44.411,4.296,107.0,20180913 10:18,,,0.0,,,,
13721551,76552001,49.509,0.071,104.0,20180818 09:30,240.0,3.7,0.0,76.0,286.35,290.65,102440.0
36417425,30283001,44.036,3.735,483.0,20181106 15:36,,,0.0,,,285.15,
34250218,26050001,44.32,5.32,556.0,20161022 19:48,,,0.0,,,,
36887330,30068001,44.02,4.08,109.0,20171119 00:42,,,0.0,,,277.15,
8713240,7230002,44.72,4.49,737.0,20160316 05:18,,,0.0,,,,
19850066,84007005,43.91,4.9,48.0,20160620 08:36,350.0,10.5,0.0,48.0,283.65,295.15,101960.0
